Description,TECHNICAL_SKILL,COMPANY_NAME,TOOL,EDUCATION,EXPERIENCE,DESIGNATION,LOCATION,LANGUAGE,SOFT_SKILL,PAY,CERTIFICATION
"Facebook, Amazon, Netflix, Google is seeking a Product Manager, DevOps Engineer, Backend Developer, Data Scientist proficient in Kubernetes, SQL, AWS, Java and experienced with Salesforce, Figma, Jira, VS Code. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science and have 3-5 years, 2+ years, Entry level, Mid-Senior level of industry experience. Position is based in Seattle, WA, Austin, TX, Boston, MA. Strong Leadership, Communication Skills and fluency in Spanish, German, English are required. Salary range: $120k–$150k, $90k–$120k. Preferred certifications include PMP Certification, AWS Certified Solutions Architect, Certified Scrum Master.","Kubernetes, SQL, AWS, Java","Facebook, Amazon, Netflix, Google","Salesforce, Figma, Jira, VS Code","Master's in Information Systems, Ph.D. in Data Science","3-5 years, 2+ years, Entry level, Mid-Senior level","Product Manager, DevOps Engineer, Backend Developer, Data Scientist","Seattle, WA, Austin, TX, Boston, MA","Spanish, German, English","Leadership, Communication Skills","$120k–$150k, $90k–$120k","PMP Certification, AWS Certified Solutions Architect, Certified Scrum Master"
"Tesla, Amazon is seeking a Backend Developer, DevOps Engineer, Product Manager proficient in TensorFlow, SQL, Machine Learning and experienced with Figma, VS Code, Tableau. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science and have Entry level, 2+ years of industry experience. Position is based in Austin, TX, New York, NY, Chicago, IL, San Francisco, CA. Strong Communication Skills, Adaptability, Teamwork and fluency in German, English, French, Spanish are required. Salary range: $80k–$100k, $90k–$120k. Preferred certifications include Google Cloud Professional, Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect.","TensorFlow, SQL, Machine Learning","Tesla, Amazon","Figma, VS Code, Tableau","Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science","Entry level, 2+ years","Backend Developer, DevOps Engineer, Product Manager","Austin, TX, New York, NY, Chicago, IL, San Francisco, CA","German, English, French, Spanish","Communication Skills, Adaptability, Teamwork","$80k–$100k, $90k–$120k","Google Cloud Professional, Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect"
"Tesla, Apple is seeking a Data Scientist, Backend Developer, Product Manager proficient in Python, Docker, TensorFlow and experienced with Tableau, Jira, Figma, VS Code. The ideal candidate should possess Master's in Information Systems, Bachelor's in Computer Science and have Mid-Senior level, 2+ years, 5+ years, 7+ years of industry experience. Position is based in Chicago, IL, Austin, TX, Seattle, WA, New York, NY. Strong Problem-Solving, Teamwork, Adaptability, Leadership and fluency in German, English, French, Spanish are required. Salary range: $80k–$100k, $120k–$150k, $100k–$130k, $90k–$120k. Preferred certifications include AWS Certified Solutions Architect, PMP Certification, Google Cloud Professional.","Python, Docker, TensorFlow","Tesla, Apple","Tableau, Jira, Figma, VS Code","Master's in Information Systems, Bachelor's in Computer Science","Mid-Senior level, 2+ years, 5+ years, 7+ years","Data Scientist, Backend Developer, Product Manager","Chicago, IL, Austin, TX, Seattle, WA, New York, NY","German, English, French, Spanish","Problem-Solving, Teamwork, Adaptability, Leadership","$80k–$100k, $120k–$150k, $100k–$130k, $90k–$120k","AWS Certified Solutions Architect, PMP Certification, Google Cloud Professional"
"Apple, Tesla is seeking a Data Scientist, Software Engineer proficient in Kubernetes, TensorFlow, Java, Python and experienced with Slack, Salesforce, VS Code, Jira. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science and have Mid-Senior level, 3-5 years of industry experience. Position is based in Seattle, WA, Chicago, IL, New York, NY. Strong Teamwork, Communication Skills, Leadership and fluency in Spanish, English are required. Salary range: $80k–$100k, $120k–$150k. Preferred certifications include Certified Scrum Master, AWS Certified Solutions Architect.","Kubernetes, TensorFlow, Java, Python","Apple, Tesla","Slack, Salesforce, VS Code, Jira","Bachelor's in Computer Science, Ph.D. in Data Science","Mid-Senior level, 3-5 years","Data Scientist, Software Engineer","Seattle, WA, Chicago, IL, New York, NY","Spanish, English","Teamwork, Communication Skills, Leadership","$80k–$100k, $120k–$150k","Certified Scrum Master, AWS Certified Solutions Architect"
"Apple, Facebook, Tesla is seeking a Software Engineer, DevOps Engineer, Product Manager, Data Scientist proficient in Machine Learning, Kubernetes and experienced with Slack, Salesforce. The ideal candidate should possess Master's in Information Systems, Bachelor's in Computer Science and have 3-5 years, 7+ years, 2+ years, 5+ years of industry experience. Position is based in San Francisco, CA, Austin, TX, Boston, MA, Chicago, IL. Strong Communication Skills, Teamwork and fluency in French, English, German, Spanish are required. Salary range: $100k–$130k, $90k–$120k, $80k–$100k. Preferred certifications include PMP Certification, Google Cloud Professional.","Machine Learning, Kubernetes","Apple, Facebook, Tesla","Slack, Salesforce","Master's in Information Systems, Bachelor's in Computer Science","3-5 years, 7+ years, 2+ years, 5+ years","Software Engineer, DevOps Engineer, Product Manager, Data Scientist","San Francisco, CA, Austin, TX, Boston, MA, Chicago, IL","French, English, German, Spanish","Communication Skills, Teamwork","$100k–$130k, $90k–$120k, $80k–$100k","PMP Certification, Google Cloud Professional"
"Tesla, Netflix, Google is seeking a Software Engineer, Data Scientist, DevOps Engineer proficient in AWS, TensorFlow and experienced with Figma, Slack, Jira, Salesforce. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science and have 3-5 years, 7+ years of industry experience. Position is based in Chicago, IL, San Francisco, CA, Austin, TX, Seattle, WA. Strong Leadership, Communication Skills and fluency in English, French, German are required. Salary range: $80k–$100k, $120k–$150k, $90k–$120k. Preferred certifications include PMP Certification, Certified Scrum Master.","AWS, TensorFlow","Tesla, Netflix, Google","Figma, Slack, Jira, Salesforce","Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science","3-5 years, 7+ years","Software Engineer, Data Scientist, DevOps Engineer","Chicago, IL, San Francisco, CA, Austin, TX, Seattle, WA","English, French, German","Leadership, Communication Skills","$80k–$100k, $120k–$150k, $90k–$120k","PMP Certification, Certified Scrum Master"
"Netflix, Microsoft, Facebook, Apple is seeking a Software Engineer, Backend Developer, Product Manager, Data Scientist proficient in Machine Learning, Python, Java, SQL and experienced with GitHub, Salesforce, Jira, Slack. The ideal candidate should possess Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science and have 7+ years, 5+ years, Entry level of industry experience. Position is based in Boston, MA, Austin, TX, San Francisco, CA. Strong Leadership, Problem-Solving, Communication Skills and fluency in German, English are required. Salary range: $120k–$150k, $90k–$120k, $80k–$100k. Preferred certifications include AWS Certified Solutions Architect, PMP Certification.","Machine Learning, Python, Java, SQL","Netflix, Microsoft, Facebook, Apple","GitHub, Salesforce, Jira, Slack","Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science","7+ years, 5+ years, Entry level","Software Engineer, Backend Developer, Product Manager, Data Scientist","Boston, MA, Austin, TX, San Francisco, CA","German, English","Leadership, Problem-Solving, Communication Skills","$120k–$150k, $90k–$120k, $80k–$100k","AWS Certified Solutions Architect, PMP Certification"
"Google, Microsoft is seeking a Product Manager, Software Engineer, DevOps Engineer proficient in AWS, Machine Learning, SQL, Java and experienced with Slack, Jira, Salesforce, Tableau. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science and have 2+ years, 5+ years of industry experience. Position is based in San Francisco, CA, Boston, MA, Seattle, WA, New York, NY. Strong Teamwork, Communication Skills and fluency in English, German are required. Salary range: $120k–$150k, $80k–$100k. Preferred certifications include Google Cloud Professional, PMP Certification.","AWS, Machine Learning, SQL, Java","Google, Microsoft","Slack, Jira, Salesforce, Tableau","Ph.D. in Data Science, Bachelor's in Computer Science","2+ years, 5+ years","Product Manager, Software Engineer, DevOps Engineer","San Francisco, CA, Boston, MA, Seattle, WA, New York, NY","English, German","Teamwork, Communication Skills","$120k–$150k, $80k–$100k","Google Cloud Professional, PMP Certification"
"Netflix, Apple, IBM is seeking a Software Engineer, Data Scientist proficient in Machine Learning, Java, SQL and experienced with GitHub, Figma. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems and have Entry level, Mid-Senior level, 3-5 years, 5+ years of industry experience. Position is based in New York, NY, Austin, TX. Strong Leadership, Teamwork, Communication Skills and fluency in German, French are required. Salary range: $90k–$120k, $80k–$100k. Preferred certifications include PMP Certification, Certified Scrum Master.","Machine Learning, Java, SQL","Netflix, Apple, IBM","GitHub, Figma","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","Entry level, Mid-Senior level, 3-5 years, 5+ years","Software Engineer, Data Scientist","New York, NY, Austin, TX","German, French","Leadership, Teamwork, Communication Skills","$90k–$120k, $80k–$100k","PMP Certification, Certified Scrum Master"
"IBM, Google, Netflix is seeking a DevOps Engineer, Data Scientist proficient in TensorFlow, Java, Python, Docker and experienced with GitHub, Salesforce, Slack, Tableau. The ideal candidate should possess Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science and have 5+ years, 3-5 years of industry experience. Position is based in San Francisco, CA, Boston, MA, Austin, TX, New York, NY. Strong Adaptability, Leadership and fluency in Spanish, French are required. Salary range: $120k–$150k, $90k–$120k. Preferred certifications include Google Cloud Professional, Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect.","TensorFlow, Java, Python, Docker","IBM, Google, Netflix","GitHub, Salesforce, Slack, Tableau","Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science","5+ years, 3-5 years","DevOps Engineer, Data Scientist","San Francisco, CA, Boston, MA, Austin, TX, New York, NY","Spanish, French","Adaptability, Leadership","$120k–$150k, $90k–$120k","Google Cloud Professional, Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect"
"Apple, IBM, Amazon, Tesla is seeking a DevOps Engineer, Product Manager proficient in Java, Machine Learning, Python, TensorFlow and experienced with Tableau, Figma, Slack. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science and have 2+ years, Entry level, 5+ years of industry experience. Position is based in Austin, TX, Boston, MA. Strong Leadership, Problem-Solving, Adaptability and fluency in German, Spanish, English, French are required. Salary range: $100k–$130k, $90k–$120k, $80k–$100k. Preferred certifications include Google Cloud Professional, AWS Certified Solutions Architect, Certified Scrum Master, PMP Certification.","Java, Machine Learning, Python, TensorFlow","Apple, IBM, Amazon, Tesla","Tableau, Figma, Slack","Ph.D. in Data Science, Bachelor's in Computer Science","2+ years, Entry level, 5+ years","DevOps Engineer, Product Manager","Austin, TX, Boston, MA","German, Spanish, English, French","Leadership, Problem-Solving, Adaptability","$100k–$130k, $90k–$120k, $80k–$100k","Google Cloud Professional, AWS Certified Solutions Architect, Certified Scrum Master, PMP Certification"
"Google, Netflix is seeking a Backend Developer, Software Engineer, Data Scientist, Product Manager proficient in SQL, Java, TensorFlow, AWS and experienced with Tableau, Slack, Figma, VS Code. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems and have 3-5 years, 7+ years, 2+ years, Mid-Senior level of industry experience. Position is based in San Francisco, CA, Seattle, WA, New York, NY, Boston, MA. Strong Leadership, Teamwork and fluency in German, French, English, Spanish are required. Salary range: $120k–$150k, $80k–$100k, $100k–$130k. Preferred certifications include Certified Scrum Master, PMP Certification.","SQL, Java, TensorFlow, AWS","Google, Netflix","Tableau, Slack, Figma, VS Code","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","3-5 years, 7+ years, 2+ years, Mid-Senior level","Backend Developer, Software Engineer, Data Scientist, Product Manager","San Francisco, CA, Seattle, WA, New York, NY, Boston, MA","German, French, English, Spanish","Leadership, Teamwork","$120k–$150k, $80k–$100k, $100k–$130k","Certified Scrum Master, PMP Certification"
"Tesla, Microsoft, Amazon is seeking a Backend Developer, DevOps Engineer, Software Engineer proficient in TensorFlow, Machine Learning, Java and experienced with Figma, GitHub. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science and have 2+ years, Mid-Senior level, 7+ years, 5+ years of industry experience. Position is based in Seattle, WA, Chicago, IL. Strong Problem-Solving, Teamwork and fluency in Spanish, English are required. Salary range: $80k–$100k, $100k–$130k, $90k–$120k. Preferred certifications include PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master.","TensorFlow, Machine Learning, Java","Tesla, Microsoft, Amazon","Figma, GitHub","Master's in Information Systems, Ph.D. in Data Science","2+ years, Mid-Senior level, 7+ years, 5+ years","Backend Developer, DevOps Engineer, Software Engineer","Seattle, WA, Chicago, IL","Spanish, English","Problem-Solving, Teamwork","$80k–$100k, $100k–$130k, $90k–$120k","PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master"
"Google, IBM, Amazon, Microsoft is seeking a DevOps Engineer, Product Manager proficient in AWS, Python and experienced with GitHub, Slack. The ideal candidate should possess Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science and have 3-5 years, 7+ years, Entry level of industry experience. Position is based in San Francisco, CA, New York, NY, Boston, MA. Strong Problem-Solving, Communication Skills, Teamwork and fluency in English, Spanish are required. Salary range: $90k–$120k, $100k–$130k, $120k–$150k, $80k–$100k. Preferred certifications include AWS Certified Solutions Architect, Google Cloud Professional, PMP Certification, Certified Scrum Master.","AWS, Python","Google, IBM, Amazon, Microsoft","GitHub, Slack","Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science","3-5 years, 7+ years, Entry level","DevOps Engineer, Product Manager","San Francisco, CA, New York, NY, Boston, MA","English, Spanish","Problem-Solving, Communication Skills, Teamwork","$90k–$120k, $100k–$130k, $120k–$150k, $80k–$100k","AWS Certified Solutions Architect, Google Cloud Professional, PMP Certification, Certified Scrum Master"
"Amazon, Facebook is seeking a Product Manager, Data Scientist, Software Engineer proficient in Java, Machine Learning, TensorFlow and experienced with Figma, Tableau. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science and have 3-5 years, 7+ years of industry experience. Position is based in San Francisco, CA, Austin, TX. Strong Adaptability, Communication Skills, Leadership and fluency in French, German, Spanish are required. Salary range: $100k–$130k, $90k–$120k, $80k–$100k. Preferred certifications include Google Cloud Professional, Certified Scrum Master.","Java, Machine Learning, TensorFlow","Amazon, Facebook","Figma, Tableau","Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science","3-5 years, 7+ years","Product Manager, Data Scientist, Software Engineer","San Francisco, CA, Austin, TX","French, German, Spanish","Adaptability, Communication Skills, Leadership","$100k–$130k, $90k–$120k, $80k–$100k","Google Cloud Professional, Certified Scrum Master"
"Apple, Facebook, Google is seeking a DevOps Engineer, Backend Developer, Product Manager, Software Engineer proficient in AWS, Kubernetes, TensorFlow and experienced with Slack, Figma, Salesforce. The ideal candidate should possess Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science and have 5+ years, 3-5 years of industry experience. Position is based in Chicago, IL, New York, NY. Strong Leadership, Teamwork, Communication Skills, Problem-Solving and fluency in Spanish, German, English are required. Salary range: $120k–$150k, $90k–$120k, $80k–$100k, $100k–$130k. Preferred certifications include Google Cloud Professional, PMP Certification, AWS Certified Solutions Architect, Certified Scrum Master.","AWS, Kubernetes, TensorFlow","Apple, Facebook, Google","Slack, Figma, Salesforce","Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science","5+ years, 3-5 years","DevOps Engineer, Backend Developer, Product Manager, Software Engineer","Chicago, IL, New York, NY","Spanish, German, English","Leadership, Teamwork, Communication Skills, Problem-Solving","$120k–$150k, $90k–$120k, $80k–$100k, $100k–$130k","Google Cloud Professional, PMP Certification, AWS Certified Solutions Architect, Certified Scrum Master"
"Tesla, IBM, Amazon, Google is seeking a Software Engineer, DevOps Engineer, Data Scientist, Product Manager proficient in Docker, Machine Learning and experienced with VS Code, Slack, Jira. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science and have Mid-Senior level, 2+ years of industry experience. Position is based in New York, NY, Chicago, IL, San Francisco, CA. Strong Leadership, Problem-Solving, Communication Skills and fluency in German, Spanish are required. Salary range: $100k–$130k, $90k–$120k, $120k–$150k. Preferred certifications include Certified Scrum Master, Google Cloud Professional, PMP Certification.","Docker, Machine Learning","Tesla, IBM, Amazon, Google","VS Code, Slack, Jira","Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science","Mid-Senior level, 2+ years","Software Engineer, DevOps Engineer, Data Scientist, Product Manager","New York, NY, Chicago, IL, San Francisco, CA","German, Spanish","Leadership, Problem-Solving, Communication Skills","$100k–$130k, $90k–$120k, $120k–$150k","Certified Scrum Master, Google Cloud Professional, PMP Certification"
"Amazon, Apple, Netflix is seeking a Product Manager, DevOps Engineer, Software Engineer, Data Scientist proficient in AWS, Java, Kubernetes, Python and experienced with Salesforce, GitHub, VS Code, Slack. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science and have 5+ years, 3-5 years of industry experience. Position is based in Seattle, WA, New York, NY. Strong Teamwork, Problem-Solving, Leadership, Adaptability and fluency in Spanish, French, German are required. Salary range: $100k–$130k, $120k–$150k, $80k–$100k. Preferred certifications include Certified Scrum Master, PMP Certification.","AWS, Java, Kubernetes, Python","Amazon, Apple, Netflix","Salesforce, GitHub, VS Code, Slack","Master's in Information Systems, Ph.D. in Data Science","5+ years, 3-5 years","Product Manager, DevOps Engineer, Software Engineer, Data Scientist","Seattle, WA, New York, NY","Spanish, French, German","Teamwork, Problem-Solving, Leadership, Adaptability","$100k–$130k, $120k–$150k, $80k–$100k","Certified Scrum Master, PMP Certification"
"Microsoft, Google, Facebook, Apple is seeking a Data Scientist, Software Engineer, DevOps Engineer proficient in TensorFlow, SQL and experienced with Slack, GitHub. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science and have Entry level, 5+ years, 7+ years of industry experience. Position is based in New York, NY, San Francisco, CA. Strong Problem-Solving, Teamwork, Communication Skills, Leadership and fluency in French, Spanish, German are required. Salary range: $100k–$130k, $120k–$150k. Preferred certifications include Google Cloud Professional, AWS Certified Solutions Architect.","TensorFlow, SQL","Microsoft, Google, Facebook, Apple","Slack, GitHub","Master's in Information Systems, Ph.D. in Data Science","Entry level, 5+ years, 7+ years","Data Scientist, Software Engineer, DevOps Engineer","New York, NY, San Francisco, CA","French, Spanish, German","Problem-Solving, Teamwork, Communication Skills, Leadership","$100k–$130k, $120k–$150k","Google Cloud Professional, AWS Certified Solutions Architect"
"Google, Tesla, Amazon, IBM is seeking a Software Engineer, DevOps Engineer, Product Manager proficient in Kubernetes, Java, SQL and experienced with Salesforce, VS Code, Jira. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science and have 7+ years, 5+ years of industry experience. Position is based in Chicago, IL, New York, NY, San Francisco, CA, Boston, MA. Strong Adaptability, Teamwork and fluency in German, French, English, Spanish are required. Salary range: $80k–$100k, $120k–$150k, $100k–$130k. Preferred certifications include AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master, PMP Certification.","Kubernetes, Java, SQL","Google, Tesla, Amazon, IBM","Salesforce, VS Code, Jira","Bachelor's in Computer Science, Ph.D. in Data Science","7+ years, 5+ years","Software Engineer, DevOps Engineer, Product Manager","Chicago, IL, New York, NY, San Francisco, CA, Boston, MA","German, French, English, Spanish","Adaptability, Teamwork","$80k–$100k, $120k–$150k, $100k–$130k","AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master, PMP Certification"
"Facebook, Amazon is seeking a Data Scientist, Product Manager proficient in Docker, Machine Learning, Python and experienced with VS Code, Figma, Jira. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems and have 7+ years, 2+ years, Mid-Senior level, 5+ years of industry experience. Position is based in Chicago, IL, San Francisco, CA, New York, NY. Strong Communication Skills, Leadership, Adaptability and fluency in French, English are required. Salary range: $100k–$130k, $90k–$120k, $80k–$100k, $120k–$150k. Preferred certifications include Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect, PMP Certification.","Docker, Machine Learning, Python","Facebook, Amazon","VS Code, Figma, Jira","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","7+ years, 2+ years, Mid-Senior level, 5+ years","Data Scientist, Product Manager","Chicago, IL, San Francisco, CA, New York, NY","French, English","Communication Skills, Leadership, Adaptability","$100k–$130k, $90k–$120k, $80k–$100k, $120k–$150k","Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect, PMP Certification"
"Tesla, IBM is seeking a Data Scientist, Product Manager, Backend Developer, DevOps Engineer proficient in Java, Docker and experienced with VS Code, GitHub. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems and have 2+ years, 3-5 years, 7+ years of industry experience. Position is based in Boston, MA, New York, NY, Austin, TX. Strong Teamwork, Communication Skills, Leadership and fluency in French, German, English, Spanish are required. Salary range: $120k–$150k, $100k–$130k, $80k–$100k, $90k–$120k. Preferred certifications include PMP Certification, Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect.","Java, Docker","Tesla, IBM","VS Code, GitHub","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","2+ years, 3-5 years, 7+ years","Data Scientist, Product Manager, Backend Developer, DevOps Engineer","Boston, MA, New York, NY, Austin, TX","French, German, English, Spanish","Teamwork, Communication Skills, Leadership","$120k–$150k, $100k–$130k, $80k–$100k, $90k–$120k","PMP Certification, Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect"
"Microsoft, Facebook is seeking a Product Manager, DevOps Engineer, Backend Developer proficient in Kubernetes, SQL and experienced with Slack, Jira, Tableau. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems and have 7+ years, 5+ years of industry experience. Position is based in San Francisco, CA, Austin, TX, New York, NY. Strong Adaptability, Communication Skills and fluency in French, German are required. Salary range: $100k–$130k, $90k–$120k, $80k–$100k. Preferred certifications include AWS Certified Solutions Architect, PMP Certification, Certified Scrum Master.","Kubernetes, SQL","Microsoft, Facebook","Slack, Jira, Tableau","Bachelor's in Computer Science, Master's in Information Systems","7+ years, 5+ years","Product Manager, DevOps Engineer, Backend Developer","San Francisco, CA, Austin, TX, New York, NY","French, German","Adaptability, Communication Skills","$100k–$130k, $90k–$120k, $80k–$100k","AWS Certified Solutions Architect, PMP Certification, Certified Scrum Master"
"IBM, Netflix is seeking a Data Scientist, DevOps Engineer, Software Engineer proficient in AWS, Kubernetes, Python, Docker and experienced with Slack, Figma, Salesforce, Jira. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science and have Entry level, Mid-Senior level of industry experience. Position is based in Austin, TX, Chicago, IL, New York, NY, Boston, MA. Strong Teamwork, Leadership and fluency in German, French, English, Spanish are required. Salary range: $80k–$100k, $90k–$120k, $100k–$130k, $120k–$150k. Preferred certifications include AWS Certified Solutions Architect, Google Cloud Professional.","AWS, Kubernetes, Python, Docker","IBM, Netflix","Slack, Figma, Salesforce, Jira","Bachelor's in Computer Science, Ph.D. in Data Science","Entry level, Mid-Senior level","Data Scientist, DevOps Engineer, Software Engineer","Austin, TX, Chicago, IL, New York, NY, Boston, MA","German, French, English, Spanish","Teamwork, Leadership","$80k–$100k, $90k–$120k, $100k–$130k, $120k–$150k","AWS Certified Solutions Architect, Google Cloud Professional"
"Apple, Amazon, Microsoft, Tesla is seeking a Backend Developer, Data Scientist proficient in Docker, AWS and experienced with VS Code, GitHub. The ideal candidate should possess Master's in Information Systems, Bachelor's in Computer Science and have 3-5 years, Entry level of industry experience. Position is based in Boston, MA, Austin, TX, Seattle, WA. Strong Communication Skills, Adaptability and fluency in English, French are required. Salary range: $100k–$130k, $120k–$150k, $80k–$100k. Preferred certifications include PMP Certification, Google Cloud Professional.","Docker, AWS","Apple, Amazon, Microsoft, Tesla","VS Code, GitHub","Master's in Information Systems, Bachelor's in Computer Science","3-5 years, Entry level","Backend Developer, Data Scientist","Boston, MA, Austin, TX, Seattle, WA","English, French","Communication Skills, Adaptability","$100k–$130k, $120k–$150k, $80k–$100k","PMP Certification, Google Cloud Professional"
"IBM, Amazon, Apple is seeking a Backend Developer, DevOps Engineer, Software Engineer, Product Manager proficient in Kubernetes, Python, SQL, Machine Learning and experienced with Salesforce, VS Code. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems and have 5+ years, Mid-Senior level, 2+ years of industry experience. Position is based in Chicago, IL, San Francisco, CA, New York, NY. Strong Teamwork, Adaptability, Communication Skills and fluency in French, Spanish are required. Salary range: $80k–$100k, $90k–$120k, $120k–$150k, $100k–$130k. Preferred certifications include Google Cloud Professional, PMP Certification.","Kubernetes, Python, SQL, Machine Learning","IBM, Amazon, Apple","Salesforce, VS Code","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","5+ years, Mid-Senior level, 2+ years","Backend Developer, DevOps Engineer, Software Engineer, Product Manager","Chicago, IL, San Francisco, CA, New York, NY","French, Spanish","Teamwork, Adaptability, Communication Skills","$80k–$100k, $90k–$120k, $120k–$150k, $100k–$130k","Google Cloud Professional, PMP Certification"
"Amazon, Apple, Tesla is seeking a Data Scientist, Software Engineer proficient in Machine Learning, TensorFlow and experienced with Salesforce, Slack, Jira. The ideal candidate should possess Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science and have 3-5 years, Mid-Senior level, 2+ years, 7+ years of industry experience. Position is based in Chicago, IL, San Francisco, CA. Strong Leadership, Communication Skills, Problem-Solving, Teamwork and fluency in German, Spanish are required. Salary range: $100k–$130k, $120k–$150k, $80k–$100k, $90k–$120k. Preferred certifications include Google Cloud Professional, Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect.","Machine Learning, TensorFlow","Amazon, Apple, Tesla","Salesforce, Slack, Jira","Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science","3-5 years, Mid-Senior level, 2+ years, 7+ years","Data Scientist, Software Engineer","Chicago, IL, San Francisco, CA","German, Spanish","Leadership, Communication Skills, Problem-Solving, Teamwork","$100k–$130k, $120k–$150k, $80k–$100k, $90k–$120k","Google Cloud Professional, Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect"
"Google, Amazon, Apple, IBM is seeking a Product Manager, Software Engineer proficient in Python, AWS and experienced with Tableau, Jira. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science and have Mid-Senior level, Entry level of industry experience. Position is based in Boston, MA, San Francisco, CA, Chicago, IL. Strong Communication Skills, Leadership, Problem-Solving, Adaptability and fluency in Spanish, German are required. Salary range: $120k–$150k, $100k–$130k, $90k–$120k, $80k–$100k. Preferred certifications include Certified Scrum Master, AWS Certified Solutions Architect, Google Cloud Professional.","Python, AWS","Google, Amazon, Apple, IBM","Tableau, Jira","Ph.D. in Data Science, Bachelor's in Computer Science","Mid-Senior level, Entry level","Product Manager, Software Engineer","Boston, MA, San Francisco, CA, Chicago, IL","Spanish, German","Communication Skills, Leadership, Problem-Solving, Adaptability","$120k–$150k, $100k–$130k, $90k–$120k, $80k–$100k","Certified Scrum Master, AWS Certified Solutions Architect, Google Cloud Professional"
